1,5,16,6,16,22,-10,31,15,-13,24,3,5,true
1,8,-3,17,20,34,4,28,-4,4,36,21,8,true
1,7,0,36,20,37,29,24,-11,53,31,40,7,true
1,7,18,-26,3,10,37,25,18,41,15,25,7,true
1,5,19,8,10,24,-4,38,-19,11,35,29,5,true
1,0,33,-17,19,12,-19,19,2,-23,19,-4,0,true
1,2,-16,-9,68,30,-37,18,-32,23,18,13,2,true
1,4,3,-4,17,19,57,23,3,35,31,49,4,true
1,0,51,-51,9,4,-54,25,-1,-33,12,-19,0,true
1,7,6,21,19,29,39,24,-9,47,31,46,9,false
1,8,14,22,20,24,2,27,2,-15,32,13,8,true
0,2,0,25,47,30,-32,23,-23,0,23,8,2,true
2,4,7,29,16,23,33,27,5,21,29,33,9,false
0,7,27,-13,12,36,-23,29,-28,46,26,21,7,true
1,8,22,20,22,25,-15,26,5,-30,29,-1,3,false
0,7,15,7,4,32,24,36,-16,56,33,48,7,true
1,0,42,-49,9,5,-43,26,3,-19,10,-13,0,true
1,0,31,-15,10,10,9,27,6,5,20,18,9,false
1,9,21,-47,11,3,29,20,4,25,16,31,9,true
1,6,6,-45,25,1,13,8,31,2,3,-1,6,true
1,5,15,-8,15,17,16,27,3,17,24,25,8,false
1,8,11,7,17,28,-8,30,-4,2,31,15,8,true
1,2,20,19,31,14,0,16,-3,-19,23,8,2,true
1,3,14,28,20,41,-12,30,-11,17,33,16,3,true
1,4,-7,-18,23,13,31,13,22,24,13,19,4,true
0,4,6,28,23,24,38,22,5,23,29,34,4,true
1,9,15,-38,18,14,27,23,-5,22,28,36,9,true
1,1,12,34,22,20,15,24,17,8,21,13,1,true
0,7,-2,3,31,29,0,21,-11,40,23,24,7,true
0,9,22,8,2,30,17,44,-30,41,42,54,5,false
1,5,15,5,17,23,-27,35,-11,-10,31,10,5,true
0,6,10,-28,25,12,13,18,39,-53,25,-6,6,true
0,0,32,-14,15,15,-18,28,-6,-15,25,7,0,true
1,2,13,29,42,34,-27,25,-26,10,26,13,2,true
1,0,36,-25,15,7,2,21,-10,10,19,20,0,true
0,5,10,2,16,27,-20,30,14,-8,23,-2,3,false
1,5,14,4,11,7,-10,29,21,-19,15,-2,5,true
1,8,1,20,27,30,-10,29,-8,-13,37,14,2,false
0,3,18,12,24,39,-30,28,-17,0,34,7,3,true
0,6,-3,-1,29,13,27,15,46,-38,21,-2,6,true
1,1,12,35,20,25,9,27,5,14,25,18,1,true
0,4,2,22,21,25,49,22,8,22,32,39,4,true
1,9,11,15,16,25,23,28,-5,19,32,33,8,false
1,6,14,7,20,12,9,20,37,-27,15,-5,6,true
0,4,6,10,20,9,44,18,24,14,18,26,4,true
1,8,-5,31,21,31,28,26,12,5,34,25,1,false
1,3,14,18,22,47,-40,31,-23,14,35,7,3,true
0,1,6,36,19,29,22,26,9,21,27,24,1,true
0,6,12,4,23,15,16,18,40,-33,19,-5,6,true
0,1,10,40,27,39,13,27,-9,17,38,28,1,true
